barangay,code10,code,urban_rural,population_2024
Acad,0907302001,097302001,Rural,1179
Alang-alang,0907302002,097302002,Rural,840
Alegria,0907302003,097302003,Rural,426
Anonang,0907302004,097302004,Rural,1772
Bagong Mandaue,0907302005,097302005,Rural,493
Bagong Maslog,0907302007,097302007,Rural,816
Bagong Oslob,0907302008,097302008,Rural,705
Bagong Pitogo,0907302009,097302009,Rural,371
Baki,0907302010,097302010,Rural,295
Balas,0907302011,097302011,Rural,1374
Balide,0907302012,097302012,Rural,1452
Balintawak,0907302013,097302013,Rural,1527
Bayabas,0907302014,097302014,Rural,1530
Bemposa,0907302015,097302015,Rural,614
Cabilinan,0907302016,097302016,Rural,1011
Campo Uno,0907302017,097302017,Rural,1347
Ceboneg,0907302018,097302018,Rural,373
Commonwealth,0907302019,097302019,Rural,1179
Gubaan,0907302021,097302021,Rural,1636
Inasagan,0907302022,097302022,Rural,975
Inroad,0907302023,097302023,Rural,450
Kahayagan East,0907302024,097302024,Rural,1032
Kahayagan West,0907302025,097302025,Rural,780
Kauswagan,0907302027,097302027,Rural,757
La Victoria,0907302028,097302028,Rural,906
Lantungan,0907302029,097302029,Rural,1546
Libertad,0907302031,097302031,Rural,2524
Lintugop,0907302032,097302032,Rural,2636
Lubid,0907302033,097302033,Rural,661
Maguikay,0907302034,097302034,Rural,717
Mahayahay,0907302035,097302035,Rural,975
Monte Alegre,0907302037,097302037,Rural,1195
Montela,0907302038,097302038,Rural,779
Napo,0907302040,097302040,Rural,255
Panaghiusa,0907302041,097302041,Rural,407
Poblacion,0907302042,097302042,Urban,6759
Resthouse,0907302043,097302043,Rural,506
Romarate,0907302044,097302044,Rural,1681
San Jose,0907302045,097302045,Urban,3698
San Juan,0907302046,097302046,Rural,764
Sapa Loboc,0907302047,097302047,Rural,1183
Tagulalo,0907302048,097302048,Rural,1051
La Paz,0907302050,097302050,Rural,708
Waterfall,0907302052,097302052,Rural,861
