TERM,REGION,PROVINCE,CITY/MUNICIPALITY,BARANGAY,POSITION,TERM IN PRESENT POSITION,LASTNAME,FIRSTNAME,MIDDLENAME,SUFFIX,BARANGAY TEL NO.
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Punong Barangay,1ST,HESIM,TEODORO,VILLA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,1ST,SUMALPONG,ARCADIA,ENTERA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,1ST,MONERA,ANNA CORA,AMARO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,1ST,VILLASORDA,JENESISA,ENAJADA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,1ST,ENGCOY,LUPER,VILLASORDA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,1ST,MENDEZ,ROLAND,DAGWAYAN,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,2ND,SUMALPONG,LAARNIE,AMARO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Sangguniang Barangay Member,1ST,AMARO,JESMAR,PUAVIN,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Chairperson,1ST,HESIM,WARREN,VILLA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Barangay Treasurer,,ESTALLO,BIENVENIDO,AMARO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,Barangay Secretary,,ESTALLO,MADELYN,BATLAG,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Member,1ST,MENDOZA,GERALD,VILLA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Member,1ST,ESTALLO,FRANK DRANREV,BATLAG,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Member,1ST,leones,roniel,candia,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Member,1ST,HESIM,LEOVIE,VILLA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Member,1ST,GILLA,KENT IVAN,HESIM,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Member,1ST,VALENCIA,LORENCE,PRIOLO,JR.,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Secretary,,ESTALLO,STEPHANIE JANE,JUNGOY,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Acad,SK Treasurer,,GABRIEL,"CARLYN ,ARIE",ESTALLO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Punong Barangay,2ND,LUCERO,NELSON,SALAZAR,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Sangguniang Barangay Member,1ST,Baraquia,Amando,Gutierrez,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Sangguniang Barangay Member,1ST,FORTUNA,ROGER,LIMUTAN,SR.,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Sangguniang Barangay Member,3RD,DUGAY,VICTORIA,YAÑEZ,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Sangguniang Barangay Member,1ST,IWAY,REYWEL,SILAO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Sangguniang Barangay Member,1ST,BONTIA,RAMIL,ENOT,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Sangguniang Barangay Member,2ND,MALUNHAO,FLORDELIZA,OPSIMA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,SK Chairperson,1ST,ACOSTA,ELGIE MARK,DIANO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Barangay Treasurer,,MOLDE,CRISELDA,BARAQUIA,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alang-alang,Barangay Secretary,,DENOSTA,MYLA,LUCERO,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alegria,Punong Barangay,1ST,Cabatingan,Almer,Sumalpong,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alegria,Sangguniang Barangay Member,1ST,Daga,Maristel,Estrera,,
2023 - 2026,REGION I,PANGASINAN,SAN CARLOS,Alegria,Sangguniang Barangay Member,1ST,Sususco,Jaread,Sanchez,,
